customer_id,signup_date,city_tier,acq_channel,gender,age,last_order_date,days_since_last_order,churn_label,reference_date
1,2025-02-25,Tier-3,Ads,M,30,2025-06-26,49.0,0,2025-08-14
2,2024-10-16,Tier-2,Ads,F,19,2025-08-10,4.0,0,2025-08-14
3,2024-10-16,Tier-3,Ads,F,21,2025-01-06,220.0,1,2025-08-14
4,2024-01-19,Tier-3,Organic,M,28,2025-08-12,2.0,0,2025-08-14
5,2024-10-18,Tier-3,Organic,M,23,2025-04-16,120.0,1,2025-08-14
6,2025-01-12,Tier-3,Ads,M,29,2025-08-01,13.0,0,2025-08-14
7,2024-06-02,Tier-3,Organic,F,20,2025-07-23,22.0,0,2025-08-14
8,2024-05-07,Tier-2,Social,M,21,2025-06-07,68.0,1,2025-08-14
9,2025-03-08,Tier-2,Ads,M,41,2025-07-30,15.0,0,2025-08-14
10,2024-09-26,Tier-2,Organic,M,26,2025-07-08,37.0,0,2025-08-14
11,2025-05-29,Tier-1,Organic,M,20,2025-07-22,23.0,0,2025-08-14
12,2024-09-14,Tier-3,Ads,M,27,2025-08-10,4.0,0,2025-08-14
13,2024-12-07,Tier-1,Organic,F,34,2025-07-29,16.0,0,2025-08-14
14,2025-05-16,Tier-2,Ads,M,35,NaT,9999.0,1,2025-08-14
15,2025-02-20,Tier-1,Organic,M,18,2025-05-20,86.0,1,2025-08-14
16,2024-04-09,Tier-2,Ads,M,23,2025-07-31,14.0,0,2025-08-14
17,2025-01-28,Tier-2,Organic,F,29,2025-08-07,7.0,0,2025-08-14
18,2024-02-22,Tier-3,Ads,M,27,2025-05-16,90.0,1,2025-08-14
19,2025-03-03,Tier-3,Organic,M,18,2025-07-18,27.0,0,2025-08-14
20,2024-05-28,Tier-3,Organic,M,18,2025-06-15,60.0,0,2025-08-14
21,2025-03-26,Tier-2,Organic,F,21,2025-06-26,49.0,0,2025-08-14
22,2025-06-17,Tier-3,Organic,F,18,2025-07-15,30.0,0,2025-08-14
23,2025-06-15,Tier-2,Organic,F,25,2025-07-25,20.0,0,2025-08-14
24,2024-12-31,Tier-2,Organic,F,35,2025-08-13,1.0,0,2025-08-14
25,2024-11-19,Tier-2,Organic,F,23,2025-07-30,15.0,0,2025-08-14
26,2025-06-03,Tier-3,Ads,F,35,NaT,9999.0,1,2025-08-14
27,2025-07-16,Tier-1,Ads,M,28,2025-08-09,5.0,0,2025-08-14
28,2024-09-02,Tier-2,Social,M,26,2025-07-11,34.0,0,2025-08-14
29,2025-03-24,Tier-3,Organic,M,18,2025-08-14,0.0,0,2025-08-14
30,2024-06-02,Tier-2,Organic,F,35,2025-07-03,42.0,0,2025-08-14
31,2024-09-02,Tier-1,Ads,F,28,2025-05-09,97.0,1,2025-08-14
32,2024-02-12,Tier-2,Organic,M,18,2025-08-11,3.0,0,2025-08-14
33,2025-01-27,Tier-3,Ads,F,30,2025-08-08,6.0,0,2025-08-14
34,2024-06-11,Tier-1,Social,F,24,2024-11-07,280.0,1,2025-08-14
35,2025-04-10,Tier-3,Ads,F,28,NaT,9999.0,1,2025-08-14
36,2025-05-26,Tier-3,Ads,F,29,2025-08-02,12.0,0,2025-08-14
37,2024-05-26,Tier-3,Referral,F,35,2025-03-24,143.0,1,2025-08-14
38,2024-06-04,Tier-2,Referral,F,20,2024-08-09,370.0,1,2025-08-14
39,2025-05-29,Tier-1,Ads,M,31,2025-07-26,19.0,0,2025-08-14
40,2024-05-25,Tier-2,Organic,M,36,2025-07-31,14.0,0,2025-08-14
41,2025-05-26,Tier-2,Social,F,44,2025-08-03,11.0,0,2025-08-14
42,2024-09-25,Tier-3,Organic,F,34,2025-06-07,68.0,1,2025-08-14
43,2025-02-14,Tier-3,Organic,F,30,2025-04-16,120.0,1,2025-08-14
44,2024-08-31,Tier-3,Social,F,29,2025-06-20,55.0,0,2025-08-14
45,2024-10-22,Tier-2,Referral,M,38,2025-01-12,214.0,1,2025-08-14
46,2024-11-09,Tier-2,Organic,F,26,2025-02-25,170.0,1,2025-08-14
47,2025-07-22,Tier-1,Organic,F,33,2025-08-07,7.0,0,2025-08-14
48,2024-10-06,Tier-2,Ads,F,42,2025-02-08,187.0,1,2025-08-14
49,2025-04-21,Tier-3,Organic,F,27,2025-08-07,7.0,0,2025-08-14
50,2024-04-28,Tier-2,Organic,M,18,2025-05-22,84.0,1,2025-08-14
51,2025-06-17,Tier-2,Social,M,22,2025-07-07,38.0,0,2025-08-14
52,2025-07-16,Tier-1,Ads,M,29,2025-08-11,3.0,0,2025-08-14
