order_id,customer_id,order_date,gmv,discount_pct,payment_method
1,1,2025-04-24,2377.47,5,COD
2,1,2025-02-28,1473.39,20,COD
3,1,2025-06-26,2403.32,10,Prepaid
4,1,2025-03-27,318.52,15,Prepaid
5,2,2025-04-10,2471.02,20,Prepaid
6,2,2025-03-24,1199.45,15,COD
7,2,2025-04-15,774.02,15,COD
8,2,2025-08-10,1830.05,0,COD
9,3,2025-01-06,537.47,5,COD
10,4,2025-04-04,761.48,5,COD
11,4,2024-11-16,1038.41,0,Prepaid
12,4,2025-08-06,1797.72,5,Prepaid
13,4,2025-05-23,1237.57,10,Prepaid
14,4,2024-03-01,938.17,5,COD
15,4,2024-07-03,909.49,0,COD
16,4,2024-12-18,1740.77,15,COD
17,4,2025-08-12,445.95,10,COD
18,4,2024-08-27,679.75,10,COD
19,5,2025-03-19,1140.74,0,COD
20,5,2025-04-16,981.56,10,Prepaid
21,6,2025-08-01,617.41,30,COD
22,7,2025-01-08,496.71,10,COD
23,7,2025-07-23,899.62,0,COD
24,7,2025-04-21,1068.77,30,Prepaid
25,7,2024-12-03,1680.82,10,Prepaid
26,7,2025-02-08,391.03,15,COD
27,8,2025-06-07,314.19,10,Prepaid
28,9,2025-05-13,1193.87,25,COD
29,9,2025-07-30,728.93,5,COD
30,10,2025-07-08,1040.24,20,Prepaid
31,10,2025-03-10,1225.81,0,COD
32,10,2025-01-03,465.82,25,COD
33,10,2025-03-05,1010.69,20,Prepaid
34,11,2025-07-22,981.18,20,Prepaid
35,12,2025-08-10,491.54,25,COD
36,12,2025-06-28,1084.17,5,Prepaid
37,12,2025-08-03,579.24,10,Prepaid
38,12,2024-09-15,555.58,5,COD
39,13,2025-04-14,951.25,0,Prepaid
40,13,2025-07-29,1260.91,10,Prepaid
41,13,2025-03-08,2858.14,10,Prepaid
42,13,2024-12-31,1139.69,5,COD
43,13,2025-05-11,1472.39,15,Prepaid
44,13,2025-02-27,726.57,0,Prepaid
45,15,2025-04-17,1846.24,20,Prepaid
46,15,2025-03-23,721.62,5,COD
47,15,2025-05-20,428.53,5,COD
48,16,2025-07-31,598.76,10,COD
